WP_002559159.1	iAF987.Gmet_1033	58.8	34	13	1	1	33	1	34	2.2e-05	44.7
WP_002561104.1	iAF987.Gmet_3253	51.1	131	63	1	3	133	2	131	1.9e-34	142.5
WP_004291466.1	iSynCJ816.SGL_RS10930	28.3	661	416	10	3	607	10	668	1.1e-66	251.9
WP_004291466.1	iEK1008.Rv0684	26.3	681	427	13	5	620	15	685	3.9e-61	233.4
WP_004291466.1	iSynCJ816.SGL_RS17200	26.1	675	435	9	5	616	10	683	5.6e-60	229.6
WP_004291467.1	iAF987.Gmet_0043	24.5	372	242	9	269	618	2	356	1.8e-12	72.0
WP_004291471.1	iAF987.Gmet_1914	26.7	120	87	1	5	124	3	121	3.8e-07	53.5
WP_004291965.1	iML1515.b1094	61.8	76	29	0	1	76	1	76	5.0e-19	90.5
WP_004291965.1	iYL1228.KPN_01092	61.8	76	29	0	1	76	1	76	5.0e-19	90.5
WP_004291965.1	STM_v1_0.STM1196	61.8	76	29	0	1	76	1	76	5.0e-19	90.5
WP_004291965.1	iSbBS512_1146.SbBS512_E2230	61.8	76	29	0	1	76	1	76	5.0e-19	90.5
WP_004291965.1	iSDY_1059.SDY_2056	61.8	76	29	0	1	76	1	76	5.0e-19	90.5
WP_004291965.1	iSF_1195.SF1098	61.8	76	29	0	1	76	1	76	5.0e-19	90.5
WP_004291965.1	iSSON_1240.SSON_1114	61.8	76	29	0	1	76	1	76	5.0e-19	90.5
WP_004291965.1	iYS854.USA300HOU_RS06195	62.5	72	27	0	7	78	6	77	6.5e-19	90.1
WP_004291965.1	iJN1463.PP_1915	59.2	76	31	0	1	76	1	76	1.1e-18	89.4
WP_004291965.1	iPC815.YPO1600	63.0	73	27	0	1	73	1	73	1.9e-18	88.6
WP_004291965.1	iHN637.CLJU_RS06285	53.3	75	35	0	4	78	2	76	1.8e-16	82.0
WP_004295275.1	iLJ478.TM1185	49.4	158	72	2	6	163	16	165	2.3e-35	146.0
WP_004295275.1	iPC815.YPO1441	47.9	146	68	2	6	151	12	149	1.5e-31	133.3
WP_004295277.1	iAF987.Gmet_3159	42.3	752	423	5	10	752	4	753	1.4e-175	614.0
WP_004295278.1	iAF692.Mbar_A0669	30.5	400	258	5	7	397	5	393	2.4e-38	157.9
WP_004295278.1	iAF692.Mbar_A1651	30.3	389	260	7	4	388	2	383	4.1e-38	157.1
WP_004295278.1	iAF987.Gmet_1105	28.1	398	267	5	7	396	5	391	4.3e-35	147.1
WP_004295279.1	iYO844.BSU29190	47.5	324	164	3	4	327	2	319	7.7e-82	301.2
WP_004295279.1	iLJ478.TM0209	47.8	324	162	2	4	326	2	319	1.6e-79	293.5
WP_004295279.1	iCN900.CD630_33950	47.8	324	163	3	4	327	2	319	8.0e-79	291.2
WP_004295279.1	iYS854.USA300HOU_RS09010	48.2	328	159	4	4	327	2	322	1.8e-78	290.0
WP_004295279.1	iHN637.CLJU_RS01590	45.8	323	169	3	4	326	2	318	2.0e-74	276.6
WP_004295279.1	iNF517.LLMG_RS05680	47.4	302	154	2	4	305	2	298	6.6e-73	271.6
WP_004295282.1	iAF987.Gmet_1653	57.8	244	103	0	1	244	1	244	7.0e-83	304.3
WP_004295282.1	STM_v1_0.STM0772	58.9	246	101	0	3	248	5	250	2.0e-82	302.8
WP_004295282.1	iYL1228.KPN_00768	58.9	246	101	0	3	248	5	250	4.5e-82	301.6
